segment	brand	name	case	strap	finish	price	retailer	url	similarity	budget	best	notes
Closest non-Coach	Rosefield	Mini Oval Stainless Steel Bracelet Watch	22mm	Bracelet / mesh	Silver tone	159	Macy's	https://www.macys.com/shop/product/rosefield-mini-oval-womens-silver-tone-stainless-steel-bracelet-watch-22mm?ID=21888290&utm_medium=openaifeed&utm_source=chatgpt.com	High	$150-$249	Closest silver mesh look	Very close to the Coach Sammy silver mesh design.
Closest non-Coach	Rosefield	Mini Oval Watch Stainless Steel	22mm	Bracelet	Stainless steel	159	Lyst	https://www.lyst.com/accessories/rosefield-mini-oval-watch-stainless-steel/?_country=US&atc_campaign=chatgpt_pla_product_feeds&atc_country=US&atc_grouping=seo&atc_medium=cpc&atc_source=chatgpt&link_id=1110377400&product=SXXWULW&show_express_checkout=true&utm_source=chatgpt.com	High	$150-$249	Alternative Rosefield listing	Same petite oval category; compare retailer price and availability.
Closest non-Coach	Rosefield	Oval Pearl Silver Mesh Watch	Oval	Mesh	Silver / pearl	129	Rosefield	https://www.rosefieldwatches.com/products/the-oval-pearl-silver-mesh?utm_campaign=openai_catalog&utm_content=product_card&utm_medium=feed&variant=40714965254340&utm_source=chatgpt.com	High	$75-$149	Mother-of-pearl style	Soft dress-watch look with oval case and mesh band.
Closest non-Coach	Anne Klein	Oval Gold-Tone Stainless Steel Mesh Watch	26mm	Mesh	Gold tone	59.5	Macy's	https://www.macys.com/shop/product/anne-klein-womens-quartz-oval-gold-tone-stainless-steel-mesh-watch-26mm?ID=27177248&utm_medium=openaifeed&utm_source=chatgpt.com	High	Under $75	Budget gold mesh	Strong budget substitute for the gold Coach Sammy mesh style.
Closest non-Coach	Anne Klein	Continental Oval Two-Tone Stainless Steel Mesh Watch	26mm	Mesh	Two-tone	66.5	Macy's	https://www.macys.com/shop/product/anne-klein-womens-quartz-continental-oval-two-tone-stainless-steel-mesh-band-watch-26mm?ID=22073841&utm_medium=openaifeed&utm_source=chatgpt.com	High	Under $75	Two-tone mesh	Good pick if you want silver and gold together.
Closest non-Coach	Anne Klein	Contemporary Oval Two-Tone Bracelet Watch	25mm	Bracelet	Two-tone	59.5	Macy's	https://www.macys.com/shop/product/anne-klein-womens-quartz-contemporary-oval-two-tone-metal-alloy-bracelet-watch-25mm?ID=21996914&utm_medium=openaifeed&utm_source=chatgpt.com	High	Under $75	Two-tone bracelet	Similar oval case with jewelry-bracelet feel.
Closest non-Coach	Anne Klein	Consider It Oval Case Leather Watch	Oval	Leather	Gold tone / ivory	85	Anne Klein	https://anneklein.com/products/consider-it-oval-case-leather-watch-gold-tone-ivory?utm_campaign=openai_catalog&utm_content=product_card&utm_medium=feed&variant=41052349366343&utm_source=chatgpt.com	High	$75-$149	Leather strap option	Good if you like the Coach Sammy leather strap versions.
Premium similar	Tory Burch	The Oval Mother-of-Pearl Bracelet Watch	22mm x 28mm	Bracelet	Silver / mint green	340	Nordstrom	https://www.nordstrom.com/s/the-oval-mother-of-pearl-bracelet-watch-22mm-x-28mm/8988809?color=silver%2Fmint+green&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$250+	Premium oval bracelet	More upscale, cleaner version of the same petite oval aesthetic.
Premium similar	Tory Burch	The Oval Elongated Bracelet Watch	22mm x 38mm	Bracelet	Gold tone	360	Nordstrom	https://www.nordstrom.com/s/the-oval-elongated-bracelet-watch-22mm-x-38mm/9036239?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	Medium	$250+	Elongated oval	Similar, but taller and more elongated than the Coach Sammy.
Other Coach	Coach	Iris Bracelet Watch	22.5mm	Bracelet	Silver	195	Nordstrom	https://www.nordstrom.com/s/iris-bracelet-watch-22-5mm/8931577?color=silver&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Same Coach vibe	Coach alternative with a petite jewelry-watch feel.
Other Coach	Coach	Iris Bracelet Watch	22.5mm	Bracelet	Gold	195	Nordstrom	https://www.nordstrom.com/s/iris-bracelet-watch-22-5mm/8913721?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Same Coach vibe	Gold Coach option with similar proportions.
Other Coach	Coach	Heart Bracelet Watch	22mm	Bracelet	Gold / white	195	Nordstrom	https://www.nordstrom.com/s/heart-bracelet-watch-22mm/8827013?color=gold%2Fwhite&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	Medium	$150-$249	Petite Coach option	Similar jewelry-watch sizing, but heart-shaped rather than oval.
Other Coach	Coach	Cadie Stainless Steel Mesh Bracelet Watch	17.5mm x 28.5mm	Mesh	Stainless steel	295	Macy's	https://www.macys.com/shop/product/coach-womens-cadie-stainless-steel-mesh-bracelet-watch-17.5-x-28.5mm?ID=14759162&utm_medium=openaifeed&utm_source=chatgpt.com	Medium	$250+	Art deco mesh	Dressy rectangular-oval alternative with a mesh band.
Other Coach	Coach	Elliot Mesh Strap Watch	28mm	Mesh	Silver / white		Nordstrom	https://www.nordstrom.com/s/elliot-mesh-strap-watch-28mm/8272687?color=silver+white&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Medium	TBD	Larger Coach mesh	Similar mesh band but larger than the Sammy.
Similar Coach	Coach	Sammy Mesh Bracelet Watch	22.5mm	Mesh bracelet	Silver / silver		Bloomingdale's	https://www.bloomingdales.com/shop/product/coach-sammy-mesh-bracelet-watch-22.5mm?ID=5664896&swatchColor=Silver%2FSilver	Exact	TBD	Exact style family	Same Sammy collection as the screenshot.
Similar Coach	Coach	Sammy Mesh Strap Watch	22.5mm	Mesh strap	Silver	195	Nordstrom	https://www.nordstrom.com/s/sammy-mesh-strap-watch-22-5mm/8483277?color=silver&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Exact	$150-$249	Exact style family	Direct Coach Sammy silver mesh option.
Similar Coach	Coach	Sammy Mesh Strap Watch	22.5mm	Mesh strap	Gold	195	Nordstrom	https://www.nordstrom.com/s/sammy-mesh-strap-watch-22-5mm/8477572?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Exact	$150-$249	Exact style family	Direct Coach Sammy gold mesh option.
Similar Coach	Coach	Sammy Bracelet Watch	22.5mm	Bracelet	Silver / white	195	Nordstrom	https://www.nordstrom.com/s/coach-sammy-bracelet-watch-22-5mm/8478525?color=silver+white&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Exact	$150-$249	Exact style family	Direct Coach Sammy bracelet option.
Similar Coach	Coach	Sammy Bracelet Watch	22.5mm	Bracelet	Gold	195	Nordstrom	https://www.nordstrom.com/s/sammy-bracelet-watch-22-5mm/8478524?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Exact	$150-$249	Exact style family	Direct Coach Sammy gold bracelet option.
Similar Coach	Coach	Sammy Bracelet Watch	22.5mm	Bracelet	Black	175	Nordstrom	https://www.nordstrom.com/s/sammy-bracelet-watch-22-5mm/8483280?color=black&size=one+size&utm_campaign=genai_shopping&utm_medium=organic	Exact	$150-$249	Exact style family	Direct Coach Sammy black option.
Similar Coach	Coach	Sammy Rose Gold Tone Mesh Bracelet Watch	22.5mm	Mesh bracelet	Rose gold	195	Macy's	https://www.macys.com/shop/product/coach-womens-sammy-rose-gold-tone-stainless-steel-mesh-bracelet-watch-22.5mm?ID=23248951&utm_medium=openaifeed	Exact	$150-$249	Exact style family	Direct Coach Sammy rose-gold mesh option.
Similar Coach	Coach	Sammy Oval Watch	22.5mm	Leather / strap	Black / black		Bloomingdale's	https://www.bloomingdales.com/shop/product/coach-sammy-oval-watch-22.5mm?CategoryID=1230061&ID=5664899&swatchColor=Black%2FBlack	Exact	TBD	Exact style family	Direct Coach Sammy black oval option.
Similar Coach	Coach	Sammy Quartz Analog Stainless Steel Mesh Bracelet Watch	Oval	Mesh bracelet	Stainless steel		Dillard's	https://www.dillards.com/p/coach-womens-sammy-quartz-analog-stainless-steel-mesh-bracelet-watch/520750363?cm_mmc=ChatGPT-_-COACH-_-063026-_-520750363&googleShop=Y	Exact	TBD	Exact style family	Dillard's listing for the Coach Sammy mesh design.
Closest non-Coach	BREDA	Jane Tethered Mesh Bracelet Seiko Quartz Watch	18mm	Mesh bracelet	Silver / gold options	195	Urban Outfitters	https://www.urbanoutfitters.com/shop/breda-jane-tethered-mesh-bracelet-seiko-quartz-18mm-watch?color=007&size=ALL&type=STANDARD&utm_medium=ai_organic&utm_source=chatgpt.com	High	$150-$249	Petite vintage	Very small vintage-inspired case with jewelry-like mesh band.
Closest non-Coach	Olivia Burton	Finer Quartz Analog Stainless Steel Mesh Bracelet Watch	20mm	Mesh bracelet	Gold / silver options	165	Dillard's	https://www.dillards.com/p/olivia-burton-womens-finer-quartz-analog-stainless-steel-mesh-bracelet-watch/520758321?cm_mmc=ChatGPT-_-Olivia+Burton-_-063026-_-520758321&googleShop=Y&utm_source=chatgpt.com	High	$150-$249	Soft minimal mesh	Minimal oval-ish dress-watch look with refined mesh band.
Budget	Estelle	Metal Mesh Band Watch	Oval	Mesh	Gold / silver options	35	Urban Outfitters	https://www.urbanoutfitters.com/shop/estelle-metal-mesh-band-watch?color=007&size=ALL&type=STANDARD&utm_medium=ai_organic&utm_source=chatgpt.com	Medium	Under $75	Lowest price	Very affordable mesh-band option with similar dress-watch direction.
Budget	Ettika	Oval Leather Strap Watch	Oval	Leather strap	Seafoam / other options	48.96	Nordstrom Rack	https://www.nordstromrack.com/s/ettika-oval-leather-strap-watch/8669093?color=seafoam&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	Under $75	Leather strap budget	Budget leather-strap option with oval case.
Budget	Elgin	Gold-Tone Oval Analog Watch	Oval	Bracelet	Gold	40	Walmart	https://www.walmart.com/ip/Elgin-Adult-Female-Analog-Watch-in-Gold-with-Oval-Dial-Stainless-Steel-EG9759/42029484?utm_medium=feed&utm_source=chatgpt.com	Medium	Under $75	Budget gold oval	Low-cost oval watch with classic gold-tone styling.
Other Coach	Coach	Harlow Gold Tone Stainless Steel Bracelet Watch	23.8mm	Bracelet	Gold tone	250	Macy's	https://www.macys.com/shop/product/coach-womens-harlow-gold-tone-stainless-steel-bracelet-watch-23.8mm?ID=25545253&utm_medium=openaifeed&utm_source=chatgpt.com	Medium	$250+	Same Coach vibe	Same brand and jewelry-watch feel, but less oval than Sammy.
Premium similar	Movado	Museum Oval Bangle Watch	Oval	Bangle bracelet	Silver / white	895	Dillard's	https://www.dillards.com/p/movado-womens-museum-oval-quartz-analog-stainless-steel-bangle-bracelet-watch/520912521?cm_mmc=ChatGPT-_-Movado-_-063026-_-520912521&googleShop=Y&utm_source=chatgpt.com	Medium	$250+	Luxury minimalist	Premium minimalist oval bangle option.
Closest non-Coach	The M Jewelers	The Mulberry Oval Bracelet Watch	22mm x 34mm	Bracelet	Gold	185	Nordstrom	https://www.nordstrom.com/s/the-mulberry-oval-bracelet-watch-22mm-x-34mm/9034533?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Elegant bracelet	Oval jewelry-watch alternative with refined bracelet design.
Closest non-Coach	Daniel Wellington	Ophelia Mini Leather Strap Watch	22mm x 25.5mm	Leather strap	Gold-tone / black	159	Nordstrom	https://www.nordstrom.com/s/ophelia-mini-leather-strap-watch-22mm-x-25-5mm/9039272?color=gold-tone%2Fblack&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Black leather oval	Clean black leather strap option similar to Coach Sammy leather.
Closest non-Coach	Daniel Wellington	Ophelia Mini Bracelet Watch	22mm x 25.5mm	Bracelet	Gold / silver options	229	Lyst	https://www.lyst.com/accessories/daniel-wellington-ophelia-mini-bracelet-watch-22mm-x-5mm/?_country=US&atc_campaign=chatgpt_pla_product_feeds&atc_country=US&atc_grouping=seo&atc_medium=cpc&atc_source=chatgpt&link_id=1107840119&product=JEMWLSF&show_express_checkout=true&utm_source=chatgpt.com	High	$150-$249	Dressier bracelet	Dressier oval bracelet watch with similar proportions.
Closest non-Coach	Lacoste	Parisienne Mesh Strap Watch	30mm x 22mm	Mesh strap	Gold	185	Nordstrom	https://www.nordstrom.com/s/parisienne-mesh-strap-watch-30mm-x-22mm/8451970?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Gold mesh option	Similar oval dimensions and mesh-strap structure.
Budget	Caravelle	Classic Black Leather Strap Watch	18.5mm	Leather strap	Black / gold	120	Macy's	https://www.macys.com/shop/product/caravelle-womens-classic-black-leather-strap-watch-18.5mm?ID=26124337&utm_medium=openaifeed&utm_source=chatgpt.com	Medium	$75-$149	Petite leather	Small leather option with classic dress-watch profile.
Premium similar	Emporio Armani	Small Sinfonia Mother-of-Pearl Bracelet Watch	22mm x 28.2mm	Bracelet	Gold / mother-of-pearl	245	Nordstrom	https://www.nordstrom.com/s/emporio-armani-small-sinfonia-mother-of-pearl-bracelet-watch-22mm-x-28-2mm/8892284?color=gold&size=one+size&utm_campaign=genai_shopping&utm_medium=organic&utm_source=chatgpt.com	High	$150-$249	Premium MOP dial	Premium oval bracelet option with mother-of-pearl dial.
Premium similar	Movado	Museum Bangle Oval Watch	22mm x 26mm	Bangle bracelet	White / silver	636	Bloomingdale's	https://www.bloomingdales.com/shop/product/movado-museum-bangle-oval-watch-22mm-x-26mm?ID=5527070&swatchColor=White%2FSilver&utm_source=chatgpt.com	Medium	$250+	Luxury minimalist	Another retailer listing for a minimalist Movado oval bangle design.